Date,Age,Infection-Vaccinated,Vaccinated without Validity,Infection-Not Vaccinated,"Infection-Vaccinated per 100,000 residents","Vaccinated without Validity per 100,000 residents","Infection-Not Vaccinated per 100,000 residents"
16-02-2021,מעל גיל 60,43,0,166,3.9,0,50.2
16-02-2021,כלל האוכלוסיה,81,0,3785,3.5,0,72
16-02-2021,מתחת לגיל 60,38,0,3592,3.1,0,72.9
17-02-2021,מעל גיל 60,41,0,151,3.7,0,46.2
17-02-2021,מתחת לגיל 60,59,0,3221,4.6,0,66.2
17-02-2021,כלל האוכלוסיה,100,0,3410,4.2,0,65.6
18-02-2021,מעל גיל 60,36,0,112,3.2,0,34.7
18-02-2021,מתחת לגיל 60,39,0,2589,2.9,0,53.9
18-02-2021,כלל האוכלוסיה,75,0,2741,3,0,53.5
19-02-2021,מתחת לגיל 60,46,0,2917,3.3,0,61.2
19-02-2021,מעל גיל 60,29,0,143,2.6,0,44.7
19-02-2021,כלל האוכלוסיה,75,0,3083,3,0,60.6
20-02-2021,מעל גיל 60,14,0,47,1.2,0,14.8
20-02-2021,מתחת לגיל 60,11,0,960,0.8,0,20.3
20-02-2021,כלל האוכלוסיה,25,0,1014,1,0,20.1
21-02-2021,כלל האוכלוסיה,76,0,2443,2.9,0,49.1
21-02-2021,מתחת לגיל 60,53,0,2299,3.6,0,49.3
21-02-2021,מעל גיל 60,23,0,131,2,0,42
22-02-2021,מתחת לגיל 60,64,0,3692,4.2,0,80.5
22-02-2021,מעל גיל 60,47,0,187,4.1,0,61.4
22-02-2021,כלל האוכלוסיה,111,0,3917,4.1,0,80.1
23-02-2021,מתחת לגיל 60,70,0,3328,4.3,0,73.7
23-02-2021,מעל גיל 60,37,0,167,3.2,0,56
23-02-2021,כלל האוכלוסיה,107,0,3521,3.9,0,73.1
24-02-2021,כלל האוכלוסיה,108,0,3434,3.8,0,72.3
24-02-2021,מעל גיל 60,46,0,140,4,0,47.8
24-02-2021,מתחת לגיל 60,62,0,3261,3.7,0,73.1
25-02-2021,כלל האוכלוסיה,103,0,2942,3.5,0,62.6
25-02-2021,מתחת לגיל 60,71,0,2782,4,0,63
25-02-2021,מעל גיל 60,32,0,137,2.8,0,47.5
26-02-2021,מתחת לגיל 60,67,0,2775,3.7,0,63.2
26-02-2021,כלל האוכלוסיה,94,0,2914,3.2,0,62.3
26-02-2021,מעל גיל 60,27,0,118,2.3,0,41.2
27-02-2021,מעל גיל 60,27,0,40,2.3,0,14
27-02-2021,כלל האוכלוסיה,59,0,1065,2,0,22.9
27-02-2021,מתחת לגיל 60,32,0,1010,1.8,0,23.1
28-02-2021,מעל גיל 60,30,0,101,2.6,0,36
28-02-2021,מתחת לגיל 60,75,0,2115,4,0,48.8
28-02-2021,כלל האוכלוסיה,105,0,2229,3.4,0,48.3
01-03-2021,כלל האוכלוסיה,137,0,3722,4.4,0,81.4
01-03-2021,מעל גיל 60,49,0,156,4.2,0,56.5
01-03-2021,מתחת לגיל 60,88,0,3525,4.5,0,82.1
02-03-2021,כלל האוכלוסיה,140,0,3314,4.4,0,73.2
02-03-2021,מתחת לגיל 60,99,0,3139,4.9,0,73.7
02-03-2021,מעל גיל 60,41,0,133,3.5,0,49
03-03-2021,מתחת לגיל 60,97,0,3320,4.6,0,78.6
03-03-2021,מעל גיל 60,53,0,122,4.5,0,45.8
03-03-2021,כלל האוכלוסיה,150,0,3480,4.6,0,77.5
04-03-2021,מתחת לגיל 60,86,0,2648,4,0,63.2
04-03-2021,מעל גיל 60,55,0,86,4.6,0,32.9
04-03-2021,כלל האוכלוסיה,141,0,2750,4.2,0,61.8
05-03-2021,כלל האוכלוסיה,115,0,2881,3.4,0,65
05-03-2021,מתחת לגיל 60,71,0,2776,3.3,0,66.5
05-03-2021,מעל גיל 60,44,0,95,3.7,0,36.5
06-03-2021,כלל האוכלוסיה,83,0,1404,2.4,0,31.8
06-03-2021,מתחת לגיל 60,57,0,1334,2.6,0,32
06-03-2021,מעל גיל 60,26,0,64,2.2,0,24.7
07-03-2021,כלל האוכלוסיה,93,0,1762,2.7,0,40.1
07-03-2021,מתחת לגיל 60,67,0,1670,3,0,40.4
07-03-2021,מעל גיל 60,26,0,74,2.2,0,29
08-03-2021,מתחת לגיל 60,80,0,2788,3.4,0,67.8
08-03-2021,כלל האוכלוסיה,140,0,2934,4,0,67.2
08-03-2021,מעל גיל 60,60,0,113,5,0,44.9
09-03-2021,כלל האוכלוסיה,137,0,2432,3.8,0,56.1
09-03-2021,מתחת לגיל 60,90,0,2311,3.8,0,56.5
09-03-2021,מעל גיל 60,47,0,91,3.9,0,36.6
10-03-2021,מעל גיל 60,30,0,76,2.5,0,30.9
10-03-2021,כלל האוכלוסיה,132,0,2238,3.6,0,51.9
10-03-2021,מתחת לגיל 60,102,0,2143,4.2,0,52.7
11-03-2021,מתחת לגיל 60,82,0,1912,3.2,0,47.3
11-03-2021,כלל האוכלוסיה,124,0,2001,3.3,0,46.6
11-03-2021,מעל גיל 60,42,0,72,3.4,0,29.5
12-03-2021,מתחת לגיל 60,73,0,1804,2.8,0,44.7
12-03-2021,כלל האוכלוסיה,99,0,1910,2.6,0,44.6
12-03-2021,מעל גיל 60,26,0,86,2.1,0,35.4
13-03-2021,מתחת לגיל 60,27,0,583,1,0,14.5
13-03-2021,מעל גיל 60,12,0,28,1,0,11.6
13-03-2021,כלל האוכלוסיה,39,0,619,1,0,14.5
14-03-2021,כלל האוכלוסיה,72,0,1102,1.8,0,25.9
14-03-2021,מעל גיל 60,23,0,55,1.9,0,22.9
14-03-2021,מתחת לגיל 60,49,0,1040,1.8,0,25.9
15-03-2021,מתחת לגיל 60,68,0,1629,2.5,0,40.8
15-03-2021,מעל גיל 60,29,0,69,2.3,0,29
15-03-2021,כלל האוכלוסיה,97,0,1718,2.4,0,40.6
16-03-2021,מתחת לגיל 60,51,0,1194,1.8,0,30
16-03-2021,מעל גיל 60,18,0,69,1.4,0,29.2
16-03-2021,כלל האוכלוסיה,69,0,1275,1.7,0,30.3
17-03-2021,מעל גיל 60,25,0,60,2,0,25.6
17-03-2021,כלל האוכלוסיה,97,0,1222,2.3,0,29.1
17-03-2021,מתחת לגיל 60,71,0,1155,2.5,0,29.2
18-03-2021,מעל גיל 60,22,0,48,1.7,0,20.7
18-03-2021,מתחת לגיל 60,45,0,948,1.5,0,24
18-03-2021,כלל האוכלוסיה,67,0,1009,1.6,0,24.1
19-03-2021,כלל האוכלוסיה,56,0,888,1.3,0,21.3
19-03-2021,מעל גיל 60,17,0,38,1.3,0,16.4
19-03-2021,מתחת לגיל 60,39,0,844,1.3,0,21.4
20-03-2021,כלל האוכלוסיה,23,0,280,0.5,0,6.7
20-03-2021,מעל גיל 60,10,0,33,0.8,0,14.3
20-03-2021,מתחת לגיל 60,13,0,242,0.4,0,6.1
21-03-2021,כלל האוכלוסיה,52,0,536,1.2,0,12.9
21-03-2021,מתחת לגיל 60,28,0,488,0.9,0,12.4
21-03-2021,מעל גיל 60,24,0,36,1.9,0,15.7
22-03-2021,מתחת לגיל 60,35,0,738,1.1,0,18.9
22-03-2021,כלל האוכלוסיה,59,0,805,1.3,0,19.4
22-03-2021,מעל גיל 60,24,0,46,1.9,0,20.2
23-03-2021,מתחת לגיל 60,35,0,538,1.1,0,13.8
23-03-2021,מעל גיל 60,9,0,34,0.7,0,14.9
23-03-2021,כלל האוכלוסיה,44,0,583,1,0,14.1
24-03-2021,מתחת לגיל 60,41,0,333,1.2,0,8.5
24-03-2021,מעל גיל 60,6,0,25,0.5,0,11
24-03-2021,כלל האוכלוסיה,47,0,381,1,0,9.2
25-03-2021,כלל האוכלוסיה,70,0,669,1.5,0,16.3
25-03-2021,מתחת לגיל 60,39,0,623,1.2,0,16
25-03-2021,מעל גיל 60,31,0,31,2.4,0,13.8
26-03-2021,מעל גיל 60,10,0,30,0.8,0,13.3
26-03-2021,כלל האוכלוסיה,27,0,451,0.6,0,11
26-03-2021,מתחת לגיל 60,17,0,415,0.5,0,10.7
27-03-2021,מתחת לגיל 60,7,0,177,0.2,0,4.6
27-03-2021,מעל גיל 60,5,0,15,0.4,0,6.7
27-03-2021,כלל האוכלוסיה,12,0,198,0.3,0,4.8
28-03-2021,מתחת לגיל 60,10,0,90,0.3,0,2.3
28-03-2021,מעל גיל 60,3,0,9,0.2,0,4
28-03-2021,כלל האוכלוסיה,13,0,103,0.3,0,2.5
29-03-2021,מתחת לגיל 60,28,0,255,0.8,0,6.6
29-03-2021,מעל גיל 60,10,0,24,0.8,0,10.7
29-03-2021,כלל האוכלוסיה,38,0,286,0.8,0,7
30-03-2021,מעל גיל 60,10,0,28,0.8,0,12.6
30-03-2021,כלל האוכלוסיה,32,0,368,0.7,0,9
30-03-2021,מתחת לגיל 60,22,0,331,0.6,0,8.5
31-03-2021,כלל האוכלוסיה,45,0,422,0.9,0,10.3
31-03-2021,מתחת לגיל 60,32,0,388,0.9,0,10
31-03-2021,מעל גיל 60,13,0,28,1,0,12.7
01-04-2021,מתחת לגיל 60,20,0,259,0.6,0,6.7
01-04-2021,מעל גיל 60,9,0,23,0.7,0,10.5
01-04-2021,כלל האוכלוסיה,29,0,288,0.6,0,7.1
02-04-2021,כלל האוכלוסיה,32,0,363,0.7,0,8.9
02-04-2021,מעל גיל 60,11,0,23,0.8,0,10.5
02-04-2021,מתחת לגיל 60,21,0,339,0.6,0,8.8
03-04-2021,מתחת לגיל 60,9,0,86,0.3,0,2.2
03-04-2021,כלל האוכלוסיה,10,0,100,0.2,0,2.5
03-04-2021,מעל גיל 60,1,0,10,0.1,0,4.6
04-04-2021,כלל האוכלוסיה,10,0,173,0.2,0,4.3
04-04-2021,מעל גיל 60,3,0,14,0.2,0,6.5
04-04-2021,מתחת לגיל 60,7,0,155,0.2,0,4
05-04-2021,כלל האוכלוסיה,35,0,330,0.7,0,8.1
05-04-2021,מתחת לגיל 60,22,0,307,0.6,0,8
05-04-2021,מעל גיל 60,13,0,17,1,0,7.9
06-04-2021,מתחת לגיל 60,17,0,223,0.5,0,5.8
06-04-2021,מעל גיל 60,18,0,23,1.4,0,10.8
06-04-2021,כלל האוכלוסיה,35,0,253,0.7,0,6.3
07-04-2021,מתחת לגיל 60,23,0,209,0.6,0,5.5
07-04-2021,כלל האוכלוסיה,29,0,230,0.6,0,5.7
07-04-2021,מעל גיל 60,6,0,14,0.5,0,6.6
08-04-2021,כלל האוכלוסיה,22,0,179,0.4,0,4.4
08-04-2021,מתחת לגיל 60,13,0,152,0.4,0,4
08-04-2021,מעל גיל 60,9,0,16,0.7,0,7.6
09-04-2021,מעל גיל 60,12,0,21,0.9,0,10
09-04-2021,מתחת לגיל 60,14,0,164,0.4,0,4.3
09-04-2021,כלל האוכלוסיה,26,0,190,0.5,0,4.7
10-04-2021,מעל גיל 60,12,0,9,0.9,0,4.3
10-04-2021,מתחת לגיל 60,8,0,52,0.2,0,1.4
10-04-2021,כלל האוכלוסיה,20,0,63,0.4,0,1.6
11-04-2021,כלל האוכלוסיה,20,0,113,0.4,0,2.8
11-04-2021,מתחת לגיל 60,17,0,95,0.5,0,2.5
11-04-2021,מעל גיל 60,3,0,15,0.2,0,7.2
12-04-2021,מתחת לגיל 60,13,0,167,0.4,0,4.4
12-04-2021,מעל גיל 60,8,0,13,0.6,0,6.2
12-04-2021,כלל האוכלוסיה,21,0,197,0.4,0,4.9
13-04-2021,מעל גיל 60,3,0,10,0.2,0,4.8
13-04-2021,מתחת לגיל 60,19,0,153,0.5,0,4
13-04-2021,כלל האוכלוסיה,22,0,170,0.4,0,4.3
14-04-2021,מתחת לגיל 60,17,0,153,0.5,0,4
14-04-2021,מעל גיל 60,5,0,10,0.4,0,4.8
14-04-2021,כלל האוכלוסיה,22,0,167,0.4,0,4.2
15-04-2021,מעל גיל 60,15,0,10,1.1,0,4.9
15-04-2021,מתחת לגיל 60,4,0,61,0.1,0,1.6
15-04-2021,כלל האוכלוסיה,19,0,74,0.4,0,1.9
16-04-2021,מתחת לגיל 60,11,0,81,0.3,0,2.1
16-04-2021,כלל האוכלוסיה,17,0,89,0.3,0,2.2
16-04-2021,מעל גיל 60,6,0,5,0.4,0,2.4
17-04-2021,מעל גיל 60,10,0,6,0.7,0,2.9
17-04-2021,מתחת לגיל 60,7,0,50,0.2,0,1.3
17-04-2021,כלל האוכלוסיה,17,0,66,0.3,0,1.7
18-04-2021,מעל גיל 60,9,0,10,0.7,0,4.9
18-04-2021,מתחת לגיל 60,13,0,96,0.3,0,2.5
18-04-2021,כלל האוכלוסיה,22,0,117,0.4,0,2.9
19-04-2021,כלל האוכלוסיה,29,0,103,0.6,0,2.6
19-04-2021,מעל גיל 60,12,0,5,0.9,0,2.5
19-04-2021,מתחת לגיל 60,17,0,90,0.4,0,2.4
20-04-2021,מעל גיל 60,6,0,8,0.4,0,3.9
20-04-2021,מתחת לגיל 60,12,0,119,0.3,0,3.2
20-04-2021,כלל האוכלוסיה,19,0,134,0.4,0,3.4
21-04-2021,מתחת לגיל 60,21,0,69,0.6,0,1.8
21-04-2021,כלל האוכלוסיה,27,0,81,0.5,0,2
21-04-2021,מעל גיל 60,6,0,6,0.4,0,3
22-04-2021,כלל האוכלוסיה,14,0,108,0.3,0,2.7
22-04-2021,מעל גיל 60,6,0,7,0.4,0,3.5
22-04-2021,מתחת לגיל 60,8,0,95,0.2,0,2.5
23-04-2021,כלל האוכלוסיה,13,0,93,0.3,0,2.3
23-04-2021,מעל גיל 60,3,0,4,0.2,0,2
23-04-2021,מתחת לגיל 60,10,0,83,0.3,0,2.2
24-04-2021,מתחת לגיל 60,4,0,23,0.1,0,0.6
24-04-2021,כלל האוכלוסיה,5,0,34,0.1,0,0.9
24-04-2021,מעל גיל 60,1,0,5,0.1,0,2.5
25-04-2021,מתחת לגיל 60,5,0,61,0.1,0,1.6
25-04-2021,כלל האוכלוסיה,6,0,69,0.1,0,1.7
25-04-2021,מעל גיל 60,1,0,2,0.1,0,1
26-04-2021,מעל גיל 60,5,0,3,0.4,0,1.5
26-04-2021,מתחת לגיל 60,8,0,69,0.2,0,1.8
26-04-2021,כלל האוכלוסיה,13,0,81,0.3,0,2.1
27-04-2021,מעל גיל 60,7,0,3,0.5,0,1.5
27-04-2021,מתחת לגיל 60,5,0,59,0.1,0,1.6
27-04-2021,כלל האוכלוסיה,12,0,71,0.2,0,1.8
28-04-2021,מעל גיל 60,1,0,3,0.1,0,1.5
28-04-2021,כלל האוכלוסיה,14,0,82,0.3,0,2.1
28-04-2021,מתחת לגיל 60,13,0,69,0.3,0,1.8
29-04-2021,כלל האוכלוסיה,9,0,82,0.2,0,2.1
29-04-2021,מעל גיל 60,2,0,6,0.1,0,3
29-04-2021,מתחת לגיל 60,7,0,70,0.2,0,1.9
30-04-2021,מתחת לגיל 60,13,0,55,0.3,0,1.5
30-04-2021,כלל האוכלוסיה,17,0,60,0.3,0,1.5
30-04-2021,מעל גיל 60,4,0,3,0.3,0,1.5
01-05-2021,כלל האוכלוסיה,5,0,10,0.1,0,0.3
01-05-2021,מעל גיל 60,0,0,3,0,0,1.5
01-05-2021,מתחת לגיל 60,5,0,6,0.1,0,0.2
02-05-2021,מתחת לגיל 60,3,0,33,0.1,0,0.9
02-05-2021,כלל האוכלוסיה,3,0,46,0.1,0,1.2
02-05-2021,מעל גיל 60,0,0,4,0,0,2
03-05-2021,מתחת לגיל 60,12,0,46,0.3,0,1.2
03-05-2021,מעל גיל 60,3,0,2,0.2,0,1
03-05-2021,כלל האוכלוסיה,15,0,51,0.3,0,1.3
04-05-2021,מעל גיל 60,2,0,2,0.1,0,1
04-05-2021,כלל האוכלוסיה,7,0,53,0.1,0,1.4
04-05-2021,מתחת לגיל 60,5,0,42,0.1,0,1.1
05-05-2021,מתחת לגיל 60,4,0,55,0.1,0,1.5
05-05-2021,כלל האוכלוסיה,5,0,62,0.1,0,1.6
05-05-2021,מעל גיל 60,1,0,5,0.1,0,2.6
06-05-2021,מעל גיל 60,4,0,3,0.3,0,1.5
06-05-2021,כלל האוכלוסיה,15,0,34,0.3,0,0.9
06-05-2021,מתחת לגיל 60,11,0,30,0.3,0,0.8
07-05-2021,מעל גיל 60,1,0,4,0.1,0,2.1
07-05-2021,כלל האוכלוסיה,3,0,30,0.1,0,0.8
07-05-2021,מתחת לגיל 60,2,0,24,0.1,0,0.6
08-05-2021,מעל גיל 60,0,0,0,0,0,0
08-05-2021,כלל האוכלוסיה,5,0,10,0.1,0,0.3
08-05-2021,מתחת לגיל 60,5,0,10,0.1,0,0.3
09-05-2021,כלל האוכלוסיה,5,0,27,0.1,0,0.7
09-05-2021,מעל גיל 60,0,0,0,0,0,0
09-05-2021,מתחת לגיל 60,5,0,26,0.1,0,0.7
10-05-2021,מתחת לגיל 60,11,0,35,0.3,0,0.9
10-05-2021,מעל גיל 60,2,0,0,0.1,0,0
10-05-2021,כלל האוכלוסיה,13,0,39,0.2,0,1
11-05-2021,מתחת לגיל 60,6,0,23,0.2,0,0.6
11-05-2021,מעל גיל 60,3,0,0,0.2,0,0
11-05-2021,כלל האוכלוסיה,9,0,26,0.2,0,0.7
12-05-2021,מעל גיל 60,3,0,1,0.2,0,0.5
12-05-2021,מתחת לגיל 60,2,0,19,0.1,0,0.5
12-05-2021,כלל האוכלוסיה,5,0,21,0.1,0,0.5
13-05-2021,מתחת לגיל 60,3,0,24,0.1,0,0.6
13-05-2021,כלל האוכלוסיה,4,0,25,0.1,0,0.6
13-05-2021,מעל גיל 60,1,0,1,0.1,0,0.5
14-05-2021,מתחת לגיל 60,1,0,22,0,0,0.6
14-05-2021,מעל גיל 60,0,0,3,0,0,1.6
14-05-2021,כלל האוכלוסיה,1,0,25,0,0,0.6
15-05-2021,מתחת לגיל 60,1,0,15,0,0,0.4
15-05-2021,מעל גיל 60,2,0,2,0.1,0,1
15-05-2021,כלל האוכלוסיה,3,0,17,0.1,0,0.4
16-05-2021,מעל גיל 60,8,0,1,0.6,0,0.5
16-05-2021,מתחת לגיל 60,5,0,14,0.1,0,0.4
16-05-2021,כלל האוכלוסיה,13,0,16,0.2,0,0.4
17-05-2021,מעל גיל 60,2,0,1,0.1,0,0.5
17-05-2021,כלל האוכלוסיה,5,0,10,0.1,0,0.3
17-05-2021,מתחת לגיל 60,3,0,7,0.1,0,0.2
18-05-2021,מעל גיל 60,1,0,1,0.1,0,0.5
18-05-2021,מתחת לגיל 60,5,0,13,0.1,0,0.4
18-05-2021,כלל האוכלוסיה,6,0,17,0.1,0,0.4
19-05-2021,מעל גיל 60,12,0,3,0.9,0,1.6
19-05-2021,מתחת לגיל 60,5,0,17,0.1,0,0.5
19-05-2021,כלל האוכלוסיה,17,0,38,0.3,0,1
20-05-2021,מעל גיל 60,0,0,1,0,0,0.5
20-05-2021,כלל האוכלוסיה,5,0,26,0.1,0,0.7
20-05-2021,מתחת לגיל 60,5,0,17,0.1,0,0.5
21-05-2021,מתחת לגיל 60,6,0,9,0.2,0,0.2
21-05-2021,כלל האוכלוסיה,7,0,15,0.1,0,0.4
21-05-2021,מעל גיל 60,1,0,2,0.1,0,1.1
22-05-2021,כלל האוכלוסיה,1,0,11,0,0,0.3
22-05-2021,מתחת לגיל 60,1,0,7,0,0,0.2
22-05-2021,מעל גיל 60,0,0,2,0,0,1.1
23-05-2021,מתחת לגיל 60,4,0,18,0.1,0,0.5
23-05-2021,מעל גיל 60,2,0,2,0.1,0,1.1
23-05-2021,כלל האוכלוסיה,6,0,20,0.1,0,0.5
24-05-2021,כלל האוכלוסיה,8,0,22,0.2,0,0.6
24-05-2021,מתחת לגיל 60,6,0,16,0.2,0,0.4
24-05-2021,מעל גיל 60,2,0,4,0.1,0,2.1
25-05-2021,מעל גיל 60,1,0,2,0.1,0,1.1
25-05-2021,מתחת לגיל 60,6,0,10,0.2,0,0.3
25-05-2021,כלל האוכלוסיה,7,0,16,0.1,0,0.4
26-05-2021,מעל גיל 60,1,0,0,0.1,0,0
26-05-2021,כלל האוכלוסיה,3,0,12,0.1,0,0.3
26-05-2021,מתחת לגיל 60,2,0,12,0.1,0,0.3
27-05-2021,כלל האוכלוסיה,2,0,12,0,0,0.3
27-05-2021,מעל גיל 60,0,0,1,0,0,0.5
27-05-2021,מתחת לגיל 60,2,0,11,0.1,0,0.3
28-05-2021,מעל גיל 60,3,0,1,0.2,0,0.5
28-05-2021,כלל האוכלוסיה,7,0,11,0.1,0,0.3
28-05-2021,מתחת לגיל 60,4,0,10,0.1,0,0.3
29-05-2021,מתחת לגיל 60,1,0,8,0,0,0.2
29-05-2021,כלל האוכלוסיה,3,0,10,0.1,0,0.3
29-05-2021,מעל גיל 60,2,0,2,0.1,0,1.1
30-05-2021,כלל האוכלוסיה,0,0,3,0,0,0.1
30-05-2021,מעל גיל 60,0,0,1,0,0,0.5
30-05-2021,מתחת לגיל 60,0,0,1,0,0,0
31-05-2021,מתחת לגיל 60,1,0,10,0,0,0.3
31-05-2021,כלל האוכלוסיה,3,0,11,0.1,0,0.3
31-05-2021,מעל גיל 60,2,0,0,0.1,0,0
01-06-2021,מתחת לגיל 60,5,0,24,0.1,0,0.6
01-06-2021,מעל גיל 60,1,0,1,0.1,0,0.5
01-06-2021,כלל האוכלוסיה,6,0,29,0.1,0,0.7
02-06-2021,כלל האוכלוסיה,3,0,10,0.1,0,0.3
02-06-2021,מתחת לגיל 60,0,0,9,0,0,0.2
02-06-2021,מעל גיל 60,3,0,1,0.2,0,0.5
