Date,First_Dose_Counts,Second_Dose_Counts,Third_Dose_Counts,First_Dose_Percentage,Second_Dose_Percentage,Third_Dose_Percetage,Percentage_Not_Vaccinated,Percentage_of_Invalid_Vaccinations,Percentage_of_Vaccinated
26-04-2021,5398096,5037551,0,58.05,54.17,0,43.29,0,56.71
27-04-2021,5402494,5044058,0,58.1,54.24,0,43.22,0,56.78
28-04-2021,5406850,5051261,0,58.14,54.32,0,43.16,0,56.84
29-04-2021,5411093,5058438,0,58.19,54.4,0,43.09,0,56.91
30-04-2021,5412895,5061525,0,58.21,54.43,0,43.06,0,56.94
01-05-2021,5413298,5062381,0,58.21,54.44,0,43.05,0,56.95
02-05-2021,5416480,5068399,0,58.25,54.5,0,43,0,57
03-05-2021,5419920,5074107,0,58.28,54.56,0,42.93,0,57.07
04-05-2021,5423380,5078709,0,58.32,54.61,0,42.88,0,57.12
05-05-2021,5426535,5082669,0,58.35,54.66,0,42.82,0,57.18
06-05-2021,5430019,5085673,0,58.39,54.69,0,42.76,0,57.24
07-05-2021,5431725,5088037,0,58.41,54.71,0,42.73,0,57.27
08-05-2021,5431912,5088488,0,58.41,54.72,0,42.73,0,57.27
09-05-2021,5434688,5093165,0,58.44,54.77,0,42.68,0,57.32
10-05-2021,5437484,5097759,0,58.47,54.82,0,42.63,0,57.37
11-05-2021,5439949,5101493,0,58.5,54.86,0,42.59,0,57.41
12-05-2021,5441816,5104679,0,58.52,54.89,0,42.56,0,57.44
13-05-2021,5443692,5108234,0,58.54,54.93,0,42.53,0,57.47
14-05-2021,5444519,5109617,0,58.55,54.95,0,42.51,0,57.49
15-05-2021,5444677,5109821,0,58.55,54.95,0,42.51,0,57.49
16-05-2021,5445126,5110984,0,58.55,54.96,0,42.48,0,57.52
17-05-2021,5445337,5111764,0,58.56,54.97,0,42.46,0,57.54
18-05-2021,5447181,5116626,0,58.58,55.02,0,42.43,0,57.57
19-05-2021,5449251,5121555,0,58.6,55.07,0,42.4,0,57.6
20-05-2021,5451417,5125325,0,58.62,55.12,0,42.37,0,57.63
21-05-2021,5452458,5126621,0,58.63,55.13,0,42.35,0,57.65
22-05-2021,5452617,5126960,0,58.63,55.13,0,42.35,0,57.65
23-05-2021,5454832,5130123,0,58.66,55.17,0,42.33,0,57.67
24-05-2021,5456840,5133637,0,58.68,55.2,0,42.31,0,57.69
25-05-2021,5458535,5136134,0,58.7,55.23,0,42.28,0,57.72
26-05-2021,5459802,5138523,0,58.71,55.26,0,42.25,0,57.75
27-05-2021,5461500,5141577,0,58.73,55.29,0,42.22,0,57.78
28-05-2021,5462158,5142875,0,58.74,55.3,0,42.21,0,57.79
29-05-2021,5462275,5143057,0,58.74,55.31,0,42.2,0,57.8
30-05-2021,5463834,5144928,0,58.76,55.33,0,42.18,0,57.82
31-05-2021,5465428,5146936,0,58.77,55.35,0,42.15,0,57.85
01-06-2021,5466649,5148674,0,58.79,55.37,0,42.13,0,57.87
02-06-2021,5467999,5150174,0,58.8,55.38,0,42.11,0,57.89
03-06-2021,5469539,5151525,0,58.82,55.4,0,42.08,0,57.92
04-06-2021,5470498,5152147,0,58.83,55.4,0,42.07,0,57.93
05-06-2021,5470618,5152240,0,58.83,55.4,0,42.07,0,57.93
06-06-2021,5474831,5153147,0,58.87,55.41,0,42.03,0,57.97
07-06-2021,5479103,5153858,0,58.92,55.42,0,41.99,0,58.01
08-06-2021,5482713,5154922,0,58.96,55.43,0,41.96,0,58.04
09-06-2021,5486189,5156125,0,59,55.45,0,41.93,0,58.07
10-06-2021,5489404,5157299,0,59.03,55.46,0,41.9,0,58.1
11-06-2021,5490676,5157743,0,59.04,55.46,0,41.89,0,58.11
12-06-2021,5490828,5157851,0,59.05,55.46,0,41.89,0,58.11
13-06-2021,5493886,5159036,0,59.08,55.48,0,41.87,0,58.13
14-06-2021,5496810,5160454,0,59.11,55.49,0,41.84,0,58.16
15-06-2021,5499821,5161693,0,59.14,55.51,0,41.82,0,58.18
16-06-2021,5502426,5162567,0,59.17,55.52,0,41.79,0,58.21
17-06-2021,5505024,5163640,0,59.2,55.53,0,41.77,0,58.23
18-06-2021,5506158,5164030,0,59.21,55.53,0,41.76,0,58.24
19-06-2021,5506311,5164122,0,59.21,55.53,0,41.76,0,58.24
20-06-2021,5509566,5165367,0,59.25,55.55,0,41.73,0,58.27
21-06-2021,5514658,5166468,0,59.3,55.56,0,41.69,0,58.31
22-06-2021,5521446,5167435,0,59.37,55.57,0,41.64,0,58.36
23-06-2021,5532031,5168603,0,59.49,55.58,0,41.57,0,58.43
24-06-2021,5543912,5169949,0,59.62,55.6,0,41.49,0,58.51
25-06-2021,5550879,5170754,0,59.69,55.6,0,41.44,0,58.56
26-06-2021,5553078,5170883,0,59.72,55.61,0,41.42,0,58.58
27-06-2021,5566625,5174245,0,59.86,55.64,0,41.33,0,58.67
28-06-2021,5581003,5177799,0,60.02,55.68,0,41.23,0,58.77
29-06-2021,5597570,5181393,0,60.19,55.72,0,41.12,0,58.88
30-06-2021,5613885,5184634,0,60.37,55.75,0,41,0,59
01-07-2021,5630569,5187877,11,60.55,55.79,0,40.88,0,59.12
02-07-2021,5640273,5189327,11,60.65,55.8,0,40.81,0,59.19
03-07-2021,5642880,5189575,11,60.68,55.81,0,40.79,0,59.21
04-07-2021,5660554,5192674,11,60.87,55.84,0,40.65,0,59.35
05-07-2021,5678299,5195587,14,61.06,55.87,0,40.51,0,59.49
06-07-2021,5696043,5198858,19,61.25,55.91,0,40.37,0,59.63
07-07-2021,5711429,5201408,29,61.42,55.93,0,40.24,0,59.76
08-07-2021,5727894,5204129,40,61.59,55.96,0,40.11,0,59.89
09-07-2021,5738934,5205488,40,61.71,55.98,0,40.02,0,59.98
10-07-2021,5743841,5205801,43,61.77,55.98,0,39.99,0,60.01
11-07-2021,5745241,5208583,46,61.78,56.01,0,39.95,0,60.05
12-07-2021,5747577,5212124,90,61.81,56.05,0,39.91,0,60.09
13-07-2021,5750444,5217433,209,61.84,56.11,0,39.86,0,60.14
14-07-2021,5753078,5224820,647,61.87,56.19,0.01,39.82,0,60.18
15-07-2021,5755951,5233947,1018,61.9,56.28,0.01,39.77,0,60.23
16-07-2021,5757118,5239708,1080,61.91,56.35,0.01,39.75,0,60.25
17-07-2021,5757420,5241023,1085,61.91,56.36,0.01,39.74,0,60.26
18-07-2021,5759432,5250724,1318,61.93,56.46,0.01,39.71,0,60.29
19-07-2021,5762545,5261907,1772,61.97,56.58,0.02,39.67,0,60.33
20-07-2021,5765109,5273684,2138,62,56.71,0.02,39.63,0.07,60.31
21-07-2021,5767392,5285398,2457,62.02,56.84,0.03,39.58,0.28,60.15
22-07-2021,5770196,5298508,2843,62.05,56.98,0.03,39.52,0.67,59.82
23-07-2021,5772133,5306589,2940,62.07,57.06,0.03,39.48,1.29,59.24
24-07-2021,5772714,5307990,2946,62.08,57.08,0.03,39.47,2.04,58.5
25-07-2021,5777068,5323402,3167,62.12,57.25,0.03,39.39,2.43,58.18
26-07-2021,5782129,5336774,3486,62.18,57.39,0.04,39.31,2.71,57.98
27-07-2021,5787533,5350177,3895,62.24,57.53,0.04,39.22,3.62,57.16
28-07-2021,5791442,5362381,4351,62.28,57.66,0.05,39.14,4.93,55.93
29-07-2021,5796027,5376380,4868,62.33,57.81,0.05,39.05,6.41,54.54
30-07-2021,5798587,5387092,8981,62.36,57.93,0.1,39.01,7.92,53.07
31-07-2021,5799954,5390574,15127,62.37,57.97,0.16,39.02,9.63,51.35
01-08-2021,5802979,5393867,46160,62.4,58,0.5,39.03,10.14,50.83
02-08-2021,5806021,5396913,104632,62.44,58.04,1.13,39.15,10.24,50.61
03-08-2021,5809330,5400096,183556,62.47,58.07,1.97,39.35,11.07,49.59
04-08-2021,5812795,5403197,264262,62.51,58.1,2.84,39.56,11.85,48.59
05-08-2021,5817224,5406665,352655,62.56,58.14,3.79,39.8,12.39,47.81
06-08-2021,5819587,5408389,397369,62.58,58.16,4.27,39.89,13.25,46.86
07-08-2021,5820572,5409006,424689,62.59,58.17,4.57,39.95,14.33,45.71
08-08-2021,5825556,5412021,504713,62.65,58.2,5.43,40.12,14.26,45.62
09-08-2021,5830854,5414952,581144,62.7,58.23,6.25,40.17,13.97,45.86
10-08-2021,5836370,5418033,656495,62.76,58.26,7.06,40.13,13.8,46.07
11-08-2021,5841997,5420863,719079,62.82,58.29,7.73,40.03,13.51,46.46
12-08-2021,5848980,5424066,778483,62.9,58.33,8.37,39.86,13.2,46.94
13-08-2021,5852733,5426031,822310,62.94,58.35,8.84,39.82,13.28,46.9
14-08-2021,5854962,5426803,866750,62.96,58.36,9.32,39.86,13.48,46.66
15-08-2021,5862119,5431269,964629,63.04,58.41,10.37,39.84,12.84,47.31
16-08-2021,5869083,5435897,1054025,63.11,58.45,11.33,39.8,12.24,47.96
17-08-2021,5876637,5440931,1137218,63.19,58.51,12.23,39.73,12.14,48.13
18-08-2021,5885254,5445444,1206359,63.29,58.56,12.97,39.65,12.16,48.19
19-08-2021,5895310,5450578,1272219,63.4,58.61,13.68,39.56,12.23,48.21
20-08-2021,5900022,5453291,1332575,63.45,58.64,14.33,39.56,12.41,48.03
21-08-2021,5903513,5454794,1383231,63.48,58.66,14.87,39.54,12.67,47.79
22-08-2021,5913387,5459559,1488174,63.59,58.71,16,39.44,12.09,48.47
23-08-2021,5924351,5463896,1581973,63.71,58.76,17.01,39.33,11.57,49.1
24-08-2021,5936128,5468516,1680235,63.83,58.81,18.07,39.23,11.42,49.35
25-08-2021,5945818,5472891,1779504,63.94,58.85,19.14,39.19,11.37,49.44
26-08-2021,5955963,5477860,1880448,64.05,58.91,20.22,39.16,11.33,49.51
27-08-2021,5960272,5480554,1937036,64.09,58.94,20.83,39.06,11.55,49.39
28-08-2021,5963970,5481988,1970494,64.13,58.95,21.19,38.95,11.98,49.07
29-08-2021,5974353,5487874,2049851,64.25,59.01,22.04,38.72,11.65,49.63
30-08-2021,5986714,5494797,2165625,64.38,59.09,23.29,38.63,11.05,50.32
31-08-2021,5998845,5501222,2280222,64.51,59.16,24.52,38.53,10.83,50.64
01-09-2021,6007925,5507137,2392386,64.61,59.22,25.73,38.48,10.59,50.93
02-09-2021,6016762,5514218,2503636,64.7,59.3,26.92,38.42,10.23,51.35
03-09-2021,6020484,5518234,2562419,64.74,59.34,27.56,38.38,10.21,51.4
04-09-2021,6023158,5520201,2592310,64.77,59.36,27.88,38.35,10.42,51.23
05-09-2021,6030229,5526608,2665455,64.85,59.43,28.66,38.25,10.04,51.7
06-09-2021,6033039,5529230,2688189,64.88,59.46,28.91,37.95,9.92,52.14
07-09-2021,6034213,5530029,2693544,64.89,59.47,28.97,37.61,10.15,52.24
08-09-2021,6035575,5531147,2700125,64.9,59.48,29.04,37.28,10.41,52.31
09-09-2021,6042706,5543614,2773776,64.98,59.61,29.83,37.11,10.23,52.66
10-09-2021,6045938,5548546,2811616,65.02,59.67,30.23,37.02,10.36,52.62
11-09-2021,6048044,5550995,2826389,65.04,59.69,30.39,36.96,10.79,52.25
12-09-2021,6054195,5559529,2880382,65.1,59.78,30.97,36.85,10.59,52.56
13-09-2021,6059877,5567692,2928164,65.16,59.87,31.49,36.88,10.4,52.73
14-09-2021,6064849,5575040,2976884,65.22,59.95,32.01,36.96,10.55,52.49
15-09-2021,6066576,5577692,2993517,65.24,59.98,32.19,36.97,10.95,52.07
16-09-2021,6066892,5578185,2995235,65.24,59.99,32.21,36.71,11.45,51.84
17-09-2021,6070571,5585125,3038041,65.28,60.06,32.67,36.69,11.53,51.79
18-09-2021,6072816,5588023,3050794,65.3,60.09,32.81,36.66,11.95,51.39
19-09-2021,6078804,5598701,3094995,65.37,60.21,33.28,36.56,11.85,51.59
20-09-2021,6082023,5603290,3111628,65.4,60.26,33.46,36.41,11.87,51.72
21-09-2021,6083331,5605290,3115049,65.42,60.28,33.5,36.24,12.37,51.39
22-09-2021,6087592,5612486,3140012,65.46,60.35,33.77,36.24,12.77,50.99
23-09-2021,6091998,5618324,3167731,65.51,60.42,34.06,36.28,13.11,50.61
24-09-2021,6095183,5622438,3195368,65.54,60.46,34.36,36.19,13.3,50.51
25-09-2021,6097258,5624656,3205755,65.57,60.48,34.47,36.16,13.66,50.18
26-09-2021,6102908,5630591,3241918,65.63,60.55,34.86,36.07,13.51,50.42
27-09-2021,6107598,5634990,3272273,65.68,60.6,35.19,36.06,13.36,50.58
28-09-2021,6109048,5636137,3278457,65.69,60.61,35.25,36.05,13.62,50.34
29-09-2021,6118716,5644430,3338616,65.8,60.7,35.9,36.08,13.39,50.53
30-09-2021,6129730,5652918,3418119,65.92,60.79,36.76,36.17,12.73,51.1
01-10-2021,6134861,5656712,3464511,65.97,60.83,37.26,36.18,12.64,51.18
02-10-2021,6137731,5658805,3486867,66,60.85,37.5,36.2,12.7,51.1
03-10-2021,6149468,5666037,3557441,66.13,60.93,38.26,36.21,12.12,51.68
04-10-2021,6159806,5672738,3609193,66.24,61,38.81,36.18,11.66,52.16
05-10-2021,6168270,5677980,3649527,66.33,61.06,39.25,36.24,11.33,52.43
06-10-2021,6175892,5682085,3683445,66.41,61.1,39.61,36.05,11.17,52.79
07-10-2021,6182825,5686043,3717340,66.49,61.14,39.97,35.79,10.93,53.28
08-10-2021,6185922,5688614,3736472,66.52,61.17,40.18,35.65,10.84,53.51
09-10-2021,6187255,5690013,3743860,66.53,61.19,40.26,35.57,10.88,53.55
10-10-2021,6191945,5693720,3765296,66.59,61.23,40.49,35.32,10.65,54.03
11-10-2021,6196215,5696611,3782461,66.63,61.26,40.67,35.13,10.46,54.4
12-10-2021,6200200,5699568,3797711,66.67,61.29,40.84,34.99,10.44,54.57
13-10-2021,6203706,5701967,3811161,66.71,61.32,40.98,34.86,10.43,54.71
14-10-2021,6207584,5704603,3827593,66.75,61.34,41.16,34.74,10.36,54.91
15-10-2021,6209269,5706235,3836515,66.77,61.36,41.26,34.67,10.36,54.97
16-10-2021,6210003,5707151,3840503,66.78,61.37,41.3,34.64,10.44,54.92
17-10-2021,6213128,5709651,3853222,66.81,61.4,41.44,34.55,10.33,55.12
18-10-2021,6215590,5711276,3863174,66.84,61.42,41.54,34.48,10.25,55.27
19-10-2021,6217962,5712506,3872393,66.86,61.43,41.64,34.42,10.25,55.34
20-10-2021,6220409,5714751,3882364,66.89,61.45,41.75,34.37,10.23,55.4
21-10-2021,6223439,5717790,3894401,66.92,61.49,41.88,34.3,10.14,55.56
22-10-2021,6224706,5719173,3900107,66.94,61.5,41.94,34.27,10.11,55.62
23-10-2021,6225256,5720407,3902635,66.94,61.51,41.97,34.26,10.08,55.66
24-10-2021,6227780,5723044,3912415,66.97,61.54,42.07,34.21,10.02,55.77
25-10-2021,6230401,5725728,3920802,67,61.57,42.16,34.17,9.95,55.88
26-10-2021,6232791,5727722,3929203,67.02,61.59,42.25,34.14,9.92,55.95
27-10-2021,6235112,5730228,3937006,67.05,61.62,42.34,34.1,9.89,56.02
28-10-2021,6237609,5732930,3945543,67.08,61.65,42.43,34.05,9.85,56.11
29-10-2021,6238479,5734019,3949571,67.09,61.66,42.47,34.03,9.85,56.12
30-10-2021,6238828,5734518,3951241,67.09,61.67,42.49,34.02,9.89,56.1
31-10-2021,6241120,5736979,3959402,67.11,61.69,42.58,33.98,9.83,56.2
01-11-2021,6242841,5739035,3965769,67.13,61.71,42.65,33.94,9.77,56.29
02-11-2021,6244859,5741017,3971936,67.15,61.74,42.71,33.91,9.75,56.34
03-11-2021,6246620,5742862,3977350,67.17,61.76,42.77,33.87,9.75,56.38
04-11-2021,6248732,5745620,3984326,67.2,61.79,42.85,33.84,9.73,56.44
05-11-2021,6249491,5746474,3987670,67.2,61.79,42.88,33.82,9.74,56.43
06-11-2021,6249820,5746844,3989003,67.21,61.8,42.9,33.82,9.78,56.41
07-11-2021,6251428,5748587,3995049,67.22,61.82,42.96,33.78,9.74,56.48
08-11-2021,6252936,5750135,4000307,67.24,61.83,43.02,33.76,9.69,56.55
09-11-2021,6254384,5751679,4005467,67.26,61.85,43.07,33.73,9.68,56.59
10-11-2021,6255822,5753276,4010073,67.27,61.87,43.12,33.71,9.67,56.62
11-11-2021,6257460,5755181,4015673,67.29,61.89,43.18,33.68,9.65,56.67
12-11-2021,6258067,5755959,4018434,67.3,61.9,43.21,33.67,9.65,56.68
13-11-2021,6258309,5756227,4019502,67.3,61.9,43.22,33.66,9.66,56.68
14-11-2021,6259862,5757824,4024522,67.32,61.92,43.28,33.64,9.63,56.74
15-11-2021,6261107,5759389,4029133,67.33,61.93,43.33,33.62,9.58,56.8
16-11-2021,6262383,5760752,4033301,67.34,61.95,43.37,33.59,9.57,56.83
17-11-2021,6263605,5762263,4037015,67.36,61.96,43.41,33.57,9.57,56.86
18-11-2021,6264982,5763882,4041845,67.37,61.98,43.46,33.55,9.55,56.9
19-11-2021,6265560,5764593,4044156,67.38,61.99,43.49,33.54,9.55,56.91
20-11-2021,6265779,5764820,4045009,67.38,61.99,43.5,33.54,9.56,56.9
21-11-2021,6267220,5766312,4049760,67.39,62.01,43.55,33.52,9.53,56.95
22-11-2021,6268892,5767788,4053806,67.41,62.02,43.59,33.5,9.49,57.02
23-11-2021,6277524,5769424,4057613,67.51,62.04,43.63,33.43,9.47,57.11
24-11-2021,6286889,5770682,4061300,67.61,62.06,43.67,33.35,9.45,57.2
25-11-2021,6296689,5772227,4065959,67.71,62.07,43.72,33.27,9.44,57.28
26-11-2021,6302260,5772922,4068555,67.77,62.08,43.75,33.23,9.46,57.31
27-11-2021,6307031,5773220,4069624,67.82,62.08,43.76,33.19,9.48,57.32
28-11-2021,6317180,5774663,4074355,67.93,62.1,43.81,33.11,9.46,57.43
29-11-2021,6326166,5775746,4078531,68.03,62.11,43.86,33.04,9.43,57.53
30-11-2021,6331911,5776341,4080966,68.09,62.12,43.88,32.98,9.43,57.58
